Page Number,Page Title,Scene Description,Main Objects,Difficulty Level,Composition Type,Visual Focus,Unique Feature
1,The Garden Gate,"A welcoming wooden cottage gate at dusk, slightly open, inviting the colorist inside",Wooden gate; climbing roses; a hanging lantern; a stone path,Easy,Single Hero Object,The open gate drawing the eye inward,A crescent moon peeking above the gate as a recurring motif
2,The Front Door,"A round arched cottage door framed by ivy with a welcome mat and a sleeping cat",Arched door; ivy; doormat; a fat cat curled by the step,Easy,Single Hero Object,The charming round door,First appearance of the recurring cat familiar
3,A Single Pumpkin,"One plump pumpkin resting on the doorstep with a tiny sprig of herbs tied with twine",Pumpkin; twine; herb sprig; cobblestone,Easy,Single Hero Object,The pumpkin's broad colorable surface,Generous open space for confidence-building
4,The Witch's Hat,"A pointed witch's hat resting on a small table beside a candle",Witch hat; candle; small table; a moth,Easy,Single Hero Object,The hat's smooth crown and brim,A friendly moth hidden near the flame
5,Teacup by the Window,"A steaming teacup on a saucer set on a windowsill with a small potted plant",Teacup; saucer; rising steam; potted succulent,Easy,Vignette,The teacup and curling steam,Steam drawn as flowing lines (recurring motif)
6,The Window Box,"A wooden window box overflowing with flowers beneath a cottage window",Window box; assorted flowers; shutters; a bee,Easy,Vignette,The cascade of flowers,Mix of bloom shapes for varied coloring
7,Sleeping Cat on a Book,"The cat familiar asleep curled on top of a single closed spellbook",Cat; spellbook; tassel bookmark; a feather,Easy,Character-as-scenery,The peaceful sleeping cat,Cat rendered in outline only (no black fill)
8,A Jar of Stars,"A glass jar on a shelf filled with tiny glowing stars and a cork stopper",Glass jar; stars; cork; a label,Easy,Single Hero Object,The jar full of stars,Stars give small detailed pockets to color
9,The Welcome Mantel,"A simple fireplace mantel with a candle, a tiny clock, and a hanging garland",Mantel; candle; small clock; leaf garland,Easy,Vignette,The cozy mantel arrangement,Introduces the hearth that returns in later pages
10,Owl on a Branch,"A round friendly owl perched on a leafy branch near the cottage window",Owl; branch; leaves; a hanging lantern,Easy,Character-as-scenery,The plump owl,Second familiar introduced (the owl)
11,A Pot of Herbs,"A clay pot of fresh kitchen herbs on the sill with a hand-written tag",Clay pot; herbs; tag; twine,Light,Single Hero Object,The leafy herb cluster,Leaf variety builds coloring rhythm
12,The Reading Nook,"A cushioned window seat with a small stack of books, a teacup, and a cat tail peeking in",Window seat; cushions; book stack; teacup; cat,Light,Vignette,The inviting nook,Closes Chapter 1 by hinting at deeper rooms
13,Shelf of Little Potions,"A wooden shelf lined with assorted small potion bottles of different shapes",Potion bottles; corks; labels; a dripping candle,Light,Vignette,The row of varied bottles,Each bottle a distinct shape for fun variety
14,The Hearth Aglow,"A cottage fireplace with a small cauldron hanging, kindling, and a cat warming nearby",Fireplace; cauldron; logs; cat; hanging spoon,Light,Establishing Scene,The warm hearth,Flames drawn as decorative line swirls (no black)
15,Windowsill Garden,"A sunny windowsill crowded with small pots, a watering can, and a curious toad",Pots; seedlings; watering can; toad; window panes,Light,Vignette,The cluster of little plants,Third familiar introduced (the toad)
16,Hanging Dried Herbs,"Bundles of dried herbs and flowers hanging from a wooden beam to dry",Herb bundles; beam; twine; a hanging lantern,Light,Pattern/Border Scene,The rhythm of hanging bundles,Repeating-yet-varied bundles create gentle pattern
17,The Spell Journal,"An open spellbook on a desk with a quill, inkpot, candle, and scattered pages",Open book; quill; inkpot; candle; loose pages,Light,Vignette,The open book spread,Blank book pages left open for personal coloring
18,Raven on the Banister,"A sleek raven perched on a carved wooden stair banister beside a candle",Raven; banister; candle; a trailing vine,Light,Character-as-scenery,The poised raven,Fourth familiar introduced (the raven)
19,Basket of Apples,"A woven basket brimming with apples beside a folded cloth on the kitchen floor",Basket; apples; cloth; a stray leaf,Light,Single Hero Object,The basket of round apples,Weave texture adds satisfying fine detail
20,The Cottage Kitchen Corner,"A cozy kitchen corner with copper pots, a kettle, and hanging utensils",Copper pots; kettle; ladles; shelf; herbs,Medium,Establishing Scene,The hanging cookware,Reflective pots suggested with simple highlight lines
21,Moonlit Windowpane,"A window at night showing a crescent moon and stars, framed by curtains and a plant",Window; crescent moon; stars; curtains; plant,Medium,Vignette,The moon through the glass,Night sky as stars and outlines (never black fill)
22,The Familiar's Nap,"The cat and toad napping together among cushions, books, and a teacup",Cat; toad; cushions; books; teacup,Medium,Character-as-scenery,The two sleeping familiars,Multiple familiars share one cozy scene
23,Shelf of Curiosities,"A shelf holding crystals, a tiny globe, feathers, shells, and a candle",Crystals; globe; feathers; shells; candle,Medium,Vignette,The eclectic collection,Many small distinct objects for detailed coloring
24,The Tea Trolley,"A rolling tea trolley with a teapot, cups, a cake stand, and a small vase of flowers",Tea trolley; teapot; cups; cake stand; flowers,Medium,Establishing Scene,The laden trolley,Crossover hint toward the future Tea House volume
25,Pumpkins on the Steps,"A cluster of pumpkins of varying sizes arranged on the cottage's stone steps",Pumpkins; steps; a lantern; fallen leaves,Medium,Vignette,The grouped pumpkins,Size variety creates depth and rhythm
26,The Greenhouse Door,"A glass greenhouse door ajar revealing hints of lush plants and a watering can within",Glass door; plants; watering can; ivy; panes,Medium,Establishing Scene,The doorway into greenery,Closes Chapter 2 by opening the greenhouse
27,The Apothecary Wall,"A full wall of apothecary shelves packed with labeled bottles, jars, and dried herbs",Bottle wall; jars; labels; drawers; ladder,Detailed,Establishing Scene,The dense wall of bottles,Layered depth with many colorable compartments
28,The Spiral Staircase,"A winding wooden staircase wrapped with vines leading up into the cottage tower",Spiral stairs; vines; lanterns; a cat ascending,Detailed,Establishing Scene,The sweeping spiral,Strong curved composition guides the eye upward
29,The Cluttered-Cozy Kitchen,"A full kitchen scene with stove, hanging herbs, copper pots, bread, and a busy table",Stove; herbs; pots; bread; table; jars,Detailed,Establishing Scene,The abundant kitchen,Rich layering with open table surfaces to color
30,The Potion in Progress,"A bubbling cauldron on a worktable surrounded by ingredients, scrolls, and a recipe book",Cauldron; ingredients; scrolls; book; bottles,Detailed,Vignette,The active cauldron,Bubbles and steam as decorative line swirls
31,The Garden in Autumn,"The cottage garden full of pumpkins, sunflowers, falling leaves, and a wooden well",Pumpkins; sunflowers; leaves; well; fence,Detailed,Establishing Scene,The abundant autumn garden,Seasonal scene foreshadowing the Autumn volume
32,The Familiar Trio,"The cat, owl, and raven gathered together among books, candles, and potion bottles",Cat; owl; raven; books; candles; bottles,Detailed,Character-as-scenery,The three familiars together,Brings the cast together in one rich scene
33,The Crystal Window,"An ornate window dripping with hanging crystals, plants, and a curious cat silhouette",Window; crystals; plants; cat; sun rays,Detailed,Vignette,The light through crystals,Sun rays drawn as fine radiating lines
34,The Bookshelf Ladder,"A tall bookshelf with a rolling ladder, stacked books, a globe, and a sleeping cat",Bookshelf; ladder; books; globe; cat,Detailed,Establishing Scene,The towering shelves,Foreshadows the Library volume; vertical depth
35,The Herbalist's Table,"A worktable covered in mortar and pestle, herbs, bottles, an open book, and a candle",Mortar and pestle; herbs; bottles; book; candle,Detailed,Vignette,The busy workspace,Many tools clustered for immersive detail
36,The Mushroom Corner,"A whimsical corner of the garden with oversized toadstools, ferns, and a tiny door",Toadstools; ferns; tiny door; pebbles; a snail,Detailed,Vignette,The cluster of mushrooms,Crossover hint toward Fairy Garden / Mushroom themes
37,Lanterns of the Path,"A garden path lined with glowing hanging lanterns leading toward the cottage at dusk",Lanterns; path; flowers; cottage; moon,Detailed,Establishing Scene,The lit pathway,Light glow rendered as radiating line halos
38,The Window Full of Cats,"A multi-pane window where several cats lounge among potted plants and teacups",Cats; window panes; plants; teacups; curtains,Detailed,Pattern/Border Scene,The grid of lounging cats,Window grid creates structured pattern variety
39,The Greenhouse Interior,"Inside the glass greenhouse, overflowing with hanging plants, pots, and a watering can",Hanging plants; pots; bench; watering can; glass,Detailed,Establishing Scene,The lush enclosed garden,Dense foliage balanced with open glass panes
