順位,動画タイトル,チャンネル名,登録者数,再生数,チャンネル平均再生数,外れ値比,動画URL,テーマ,フックの型,投稿日,データ信頼度,出典URL,確定再生数,確定登録者数,確定チャンネル名,真のチャンネル平均(直近最大50本),外れ値比(チャンネル平均比),登録者比(再生÷登録),チャンネル総再生数,チャンネル総動画数,確定データ信頼度,API取得日時(UTC),取得結果
1,"㊗️280万再生 ""汚い作業着の父""を笑った母親の末路",シニア感動朗読系（推定）,未確認,280万,120万（本サンプル内平均）,2.33,https://www.youtube.com/shorts/TnZxyfKr2Xo,シニア・人生逆転・親子,型①欠落→逆転＋型③目撃,2026年5月（推定）,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/TnZxyfKr2Xo,,,,,,,,,確証(API),2026-06-17T12:45:37Z,動画が見つからない(削除/非公開/ID誤り)
2,㊗️220万回突破 5000円の猫が運んでくれた奇跡,シニア感動朗読系（推定）,未確認,220万,120万（本サンプル内平均）,1.83,https://www.youtube.com/shorts/z6zYek0yZg8,シニア・動物・感動,型⑤数字の奇跡,2025年12月（推定）,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/z6zYek0yZg8,2426581,77400,人生のほっとストーリー,516142,4.7,31.35,74209659,152,確証(API),2026-06-17T12:45:37Z,OK
3,㊗️210万回突破 定食屋で女性がチラチラと私を見る衝撃の理由,シニア感動朗読系（推定）,未確認,210万,120万（本サンプル内平均）,1.75,https://www.youtube.com/shorts/iv56EEnCMBI,シニア・家族・感動,型③目撃＋型⑦省略,2026年2月（推定）,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/iv56EEnCMBI,2169130,77400,人生のほっとストーリー,516142,4.2,28.02,74209659,152,確証(API),2026-06-17T12:45:38Z,OK
4,㊗️306万再生【2ch感動スレ】感動の迷言集～植物状態～,2ch感動スレまとめ系（推定）,未確認,306万,209万（本サンプル内平均）,1.46,https://www.youtube.com/shorts/QfzxonthZCc,2ch・感動・名言,型⑥セリフ引用,2025年1月29日（推定）,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/QfzxonthZCc,,,,,,,,,確証(API),2026-06-17T12:45:38Z,動画が見つからない(削除/非公開/ID誤り)
5,㊗️300万再生突破【2ch感動スレ】感動の迷言集～並走トラック～,2ch感動スレまとめ系（推定）,未確認,300万,209万（本サンプル内平均）,1.43,https://www.youtube.com/shorts/UNTylkZewdU,2ch・感動・名言,型⑥セリフ引用,未確認,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/UNTylkZewdU,3036400,307000,2ch感動ストーリー,1341509,2.26,9.89,2096050927,2594,確証(API),2026-06-17T12:45:38Z,OK
6,【祝200万再生】生活保護を申請した私が窓口で3回追い返されたらとんでもないことになりました,シニア感動朗読系（推定）,未確認,200万,120万（本サンプル内平均）,1.66,https://www.youtube.com/shorts/CFfhwpQ8gkg,実話・人生逆転・社会派,型①欠落→逆転,2026年6月（推定）,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/CFfhwpQ8gkg,292712,14300,心に残るストーリー,52874,5.54,20.47,2039846,39,確証(API),2026-06-17T12:45:39Z,OK
7,㊗️200万再生「ただの厄介者よ」70歳の母を母の日に施設送りした娘夫婦 3000万円の家を奪い返された瞬間,シニア感動朗読系（推定）,未確認,200万,120万（本サンプル内平均）,1.66,https://www.youtube.com/shorts/pUGbE8O3_QU,スカッと・シニア・人生逆転,型⑥セリフ引用＋型①,2025年8月10日（推定）,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/pUGbE8O3_QU,,,,,,,,,確証(API),2026-06-17T12:45:40Z,動画が見つからない(削除/非公開/ID誤り)
8,㊗️200万再生 ボロ服の老夫婦を馬鹿にした寿司店主が翌日から食材が届かなくなった理由,シニア感動朗読系（推定）,未確認,200万,120万（本サンプル内平均）,1.66,https://www.youtube.com/shorts/mFRjMKt4_QA,スカッと・シニア・人生逆転,型①欠落→逆転＋型③目撃,2026年5月（推定）,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/mFRjMKt4_QA,,,,,,,,,確証(API),2026-06-17T12:45:40Z,動画が見つからない(削除/非公開/ID誤り)
9,㊗️150万回再生「無理せず母国に帰りなよ」生活保護を申請しまくる外国人を一刀両断した日本人職員,感動する話まとめ系（推定）,未確認,150万,,,https://www.youtube.com/shorts/zesY6-N2mbc,実話・社会派・朗読,型⑥セリフ引用,2026年4月（推定）,推定（再生数=作者申告）,https://www.youtube.com/shorts/zesY6-N2mbc,1540146,67900,あこがれJAPAN,17777,86.64,22.68,49318346,291,確証(API),2026-06-17T12:45:40Z,OK
10,㊗️140万回突破「日給100円で働かせてくれ」と頼み込む強面のヤクザを雇った結果,シニア感動朗読系（推定）,未確認,140万,120万（本サンプル内平均）,1.16,https://www.youtube.com/shorts/3GMlz5-NXps,シニア・恩返し・感動,型⑥セリフ引用＋型①,2026年3月（推定）,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/3GMlz5-NXps,1451822,77400,人生のほっとストーリー,516142,2.81,18.76,74209659,152,確証(API),2026-06-17T12:45:40Z,OK
11,㊗130万再生【2ch感動スレ】スカッと迷言集～鬼は外～,2ch感動スレまとめ系（推定）,未確認,130万,209万（本サンプル内平均）,0.62,https://www.youtube.com/shorts/lviZsbpPoDc,2ch・スカッと・名言,型⑥セリフ引用,未確認,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/lviZsbpPoDc,,,,,,,,,確証(API),2026-06-17T12:45:41Z,動画が見つからない(削除/非公開/ID誤り)
12,㊗️130万回突破 ホームレスに無償で髪を切った結果。15年後に起きた奇跡に驚愕する,シニア感動朗読系（推定）,未確認,130万,120万（本サンプル内平均）,1.08,https://www.youtube.com/shorts/0A4n6tSh038,シニア・恩返し・感動,型⑤数字の奇跡＋型①,未確認,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/0A4n6tSh038,1701829,77400,人生のほっとストーリー,516142,3.3,21.99,74209659,152,確証(API),2026-06-17T12:45:41Z,OK
