Page Number,Page Title,Positive Prompt,Negative Prompt,Composition Notes,Complexity Level,Consistency Notes
1,The Library Key,"black and white line art coloring page for adults, an ornate iron key with a tasseled tag resting on a small velvet cushion, clean bold outlines, large open coloring spaces, white background, 8.5x11 portrait, print friendly","grayscale, shading, gray tones, color, text, words, letters, watermark, signature, frame, border, solid black fill, gradient, blurry, low resolution, photorealistic, cluttered tiny lines","Key centered as hero, cushion grounding it, generous white space",Easy,"Establishes even confident line weight for the whole book"
2,A Single Spellbook,"black and white line art coloring page for adults, one closed ornate spellbook with a metal clasp and a crescent moon emblem on the cover, a ribbon, clean bold outlines, open spaces, white background, 8.5x11 portrait","grayscale, shading, color, text, words, watermark, signature, frame, solid black fill, gradient, blurry, photorealistic","Book centered, cover detail as the focal point",Easy,"Crescent moon emblem = series motif; no readable title text"
3,The Reading Lamp,"black and white line art coloring page for adults, a brass desk lamp glowing over an open blank book on a small table, soft radiating glow lines, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, dark fill, gradient, blurry, photorealistic","Lamp upper, pool of light over the open book below",Easy,"Glow as radiating lines, never black; book pages blank"
4,The Bookmark Ribbon,"black and white line art coloring page for adults, a book held open by a long tasseled bookmark with a pressed flower tucked between blank pages, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, words, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Open book centered, ribbon flowing down for movement",Easy,"Pages intentionally blank for the colorist"
5,Cat Among Books,"black and white line art coloring page for adults, the cottage cat familiar curled asleep on a small stack of books with a feather and a candle stub, clean outlines, no black fur fill, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, gradient, deformed cat, blurry, photorealistic","Cat and stack centered, plenty of white around",Easy,"Recurring cat familiar; outline only, never filled black"
6,Quill and Inkpot,"black and white line art coloring page for adults, a feather quill resting in an inkpot beside a blank sheet of paper, a single ink drop, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, legible text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Diagonal quill leading to the inkpot, paper open beside",Easy,"Paper blank (no text); writing motif introduced"
7,A Stack of Books,"black and white line art coloring page for adults, a neat leaning stack of books with a steaming teacup and saucer balanced on top, curling steam lines, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Stack centered, teacup crowning it, steam drawing the eye up",Easy,"Steaming teacup motif (series glue); steam as flowing lines"
8,The Candle Sconce,"black and white line art coloring page for adults, a wrought-iron wall sconce holding a lit candle with a trailing ivy vine, decorative flame swirls, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, gradient, blurry, photorealistic","Sconce as hero, ivy trailing for organic balance",Easy,"Flame as decorative line swirls, never black; vine motif"
9,Owl on the Shelf,"black and white line art coloring page for adults, a round friendly owl perched between two leaning books on a shelf beside a small lantern, clean outlines, no black feathers fill, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, gradient, deformed owl, blurry, photorealistic","Owl centered between books, lantern balancing one side",Easy,"Recurring owl familiar; feathers outlined only"
10,The Globe,"black and white line art coloring page for adults, a small world globe on a carved wooden stand beside a magnifying glass, continents as gentle outlines, clean lines, white background, 8.5x11 portrait","grayscale, shading, color, legible text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Globe as hero, magnifying glass as a small companion object",Light,"Continents as soft outlines for coloring; no labels"
