Page Number,Page Title,Positive Prompt,Negative Prompt,Composition Notes,Complexity Level,Consistency Notes
1,The Garden Gate,"black and white line art coloring page for adults, a cozy wooden cottage garden gate slightly open at dusk, climbing roses, a hanging lantern, a stone path leading inward, a crescent moon above, clean bold outlines, large open coloring spaces, white background, 8.5x11 portrait, print friendly","grayscale, shading, gray tones, color, text, words, letters, watermark, signature, frame, border, solid black fill, gradient, blurry, low resolution, photorealistic, cluttered tiny lines","Center the gate, eye led through the opening; lower third left open",Easy,"Crescent moon motif established; even confident line weight set for whole book"
2,The Front Door,"black and white line art coloring page for adults, a charming round arched cottage door framed with ivy, a welcome mat, a fat cat curled asleep by the step, clean bold outlines, large open spaces, no shading, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, border, solid black fill, gradient, deformed animal, blurry, photorealistic","Door centered as hero; cat in lower corner",Easy,"First appearance of the recurring fat cat familiar (outline only, no black fur)"
3,A Single Pumpkin,"black and white line art coloring page for adults, one plump pumpkin on a cobblestone doorstep, a small herb sprig tied with twine resting on top, clean outlines, very large open coloring surface, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black, gradient, blurry, photorealistic, busy background","Single subject centered, generous negative space",Easy,"Pumpkin recurring motif; keep ribs as simple curved lines"
4,The Witch's Hat,"black and white line art coloring page for adults, a pointed witch hat resting on a small round table beside a lit candle, a small moth nearby, clean smooth outlines, open spaces, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, gradient, blurry, photorealistic","Hat as hero object, candle to one side for balance",Easy,"Candle flame as simple outline; cozy-not-spooky tone"
5,Teacup by the Window,"black and white line art coloring page for adults, a steaming teacup and saucer on a windowsill, curling steam lines, a small potted succulent beside it, window panes behind, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Teacup lower center; steam draws eye upward",Easy,"Steaming teacup motif; steam rendered as flowing decorative lines"
6,The Window Box,"black and white line art coloring page for adults, a wooden window box overflowing with varied flowers beneath cottage shutters, a small bee, clean outlines, mix of bloom shapes, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Horizontal box across center, blooms spilling down",Easy,"Varied flower shapes; keep petals open for coloring"
7,Sleeping Cat on a Book,"black and white line art coloring page for adults, the cottage cat familiar asleep curled on top of a closed spellbook with a tassel bookmark and a feather, clean outlines, no black fur fill, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, gradient, deformed cat, blurry, photorealistic","Cat and book centered, plenty of white around",Easy,"Same cat as page 2; outline only, never filled black"
8,A Jar of Stars,"black and white line art coloring page for adults, a glass jar with a cork stopper filled with tiny stars, a small paper label, sitting on a wooden shelf, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text on label, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Jar centered as hero; stars give small detail pockets",Easy,"Star motif (matches crescent moon); label left blank, no text"
9,The Welcome Mantel,"black and white line art coloring page for adults, a cozy fireplace mantel with a candle, a small clock, and a hanging leaf garland, clean outlines, open spaces, white background, 8.5x11 portrait","grayscale, shading, color, text, numbers on clock, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Horizontal mantel arrangement, balanced objects",Easy,"Introduces the hearth that recurs; clock face left blank"
10,Owl on a Branch,"black and white line art coloring page for adults, a round friendly owl perched on a leafy branch beside a small hanging lantern, clean outlines, no black feathers fill, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, gradient, deformed owl, blurry, photorealistic","Owl as hero on a diagonal branch",Easy,"Owl familiar established; feathers as outlined shapes, no fill"
