Page Number,Page Title,Scene Description,Main Objects,Difficulty Level,Composition Type,Visual Focus,Unique Feature
1,The Library Key,"An ornate iron key with a tasseled tag resting on a small velvet cushion",Key; tassel; tag; cushion,Easy,Single Hero Object,The intricate key,Opens the series motif of unlocking a world
2,A Single Spellbook,"One closed ornate spellbook with a metal clasp and a crescent-moon emblem",Spellbook; clasp; moon emblem; ribbon,Easy,Single Hero Object,The book's decorated cover,Crescent moon motif on the cover (series glue)
3,The Reading Lamp,"A brass desk lamp glowing over an open blank book on a small table",Desk lamp; open book; table; glow lines,Easy,Vignette,The pool of lamplight,Glow drawn as soft radiating lines (no black)
4,The Bookmark Ribbon,"A book held open by a long tasseled bookmark with a pressed flower tucked inside",Book; tasseled bookmark; pressed flower,Easy,Single Hero Object,The flowing ribbon,Blank pages left open for personal coloring
5,Cat Among Books,"The cottage cat familiar curled asleep on a small stack of books",Cat; book stack; a feather; a candle stub,Easy,Character-as-scenery,The sleeping cat,Recurring cat familiar (outline only, no black fur)
6,Quill and Inkpot,"A feather quill resting in an inkpot beside a blank sheet of paper",Quill; inkpot; paper; a drop of ink,Easy,Vignette,The elegant quill,Paper left blank (no text); writing motif begins
7,A Stack of Books,"A neat leaning stack of books with a steaming teacup balanced on top",Book stack; teacup; saucer; steam,Easy,Single Hero Object,The cozy stack,Steaming teacup motif (series glue)
8,The Candle Sconce,"A wrought-iron wall sconce holding a lit candle with a trailing ivy vine",Sconce; candle; ivy; flame swirls,Easy,Single Hero Object,The decorative sconce,Flame as decorative line swirls, never black
9,Owl on the Shelf,"The owl familiar perched between two leaning books on a shelf",Owl; books; bookends; a small lantern,Easy,Character-as-scenery,The watchful owl,Recurring owl familiar (outline only)
10,The Globe,"A small world globe on a carved wooden stand beside a magnifying glass",Globe; stand; magnifying glass,Easy,Single Hero Object,The round globe,Continents drawn as gentle outlines for coloring
11,A Scroll Unrolled,"A partially unrolled blank scroll weighted with a wax seal and a candle",Scroll; wax seal; candle; cord,Light,Vignette,The curling scroll,Scroll surface blank (no text) for the colorist
12,The Window Seat,"A cushioned window seat piled with books, a teacup, and a crescent moon outside",Window seat; cushions; books; teacup; moon,Light,Vignette,The cozy reading seat,Crescent moon motif; closes Chapter 1
13,The Card Catalog,"A small bank of wooden catalog drawers with blank labels and tiny pulls",Catalog drawers; pulls; blank labels; a cat tail,Light,Vignette,The grid of little drawers,Repeating drawers create gentle pattern; labels blank
